搜尋關鍵字,年份,歌手,歌名,專輯,發行日期,類型,YouTube搜尋網址
台語歌,2022,薛榮漢,覕相揣兮甘甜 (feat. 謝徐鳳玉),2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E8%96%9B%E6%A6%AE%E6%BC%A2+%E8%A6%95%E7%9B%B8%E6%8F%A3%E5%85%AE%E7%94%98%E7%94%9C+%28feat.+%E8%AC%9D%E5%BE%90%E9%B3%B3%E7%8E%89%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,盧廣仲,天黑黑 (戲劇《台灣犯罪故事》主題曲),天黑黑 (戲劇《台灣犯罪故事》主題曲) - Single,2022-11-25,華語流行樂,https://www.youtube.com/results?search_query=%E7%9B%A7%E5%BB%A3%E4%BB%B2+%E5%A4%A9%E9%BB%91%E9%BB%91+%28%E6%88%B2%E5%8A%87%E3%80%8A%E5%8F%B0%E7%81%A3%E7%8A%AF%E7%BD%AA%E6%95%85%E4%BA%8B%E3%80%8B%E4%B8%BB%E9%A1%8C%E6%9B%B2%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,百合花,假使我是一個女人,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E7%99%BE%E5%90%88%E8%8A%B1+%E5%81%87%E4%BD%BF%E6%88%91%E6%98%AF%E4%B8%80%E5%80%8B%E5%A5%B3%E4%BA%BA+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,玖壹壹,世界都看見,BROMAN,2022-12-30,華語流行樂,https://www.youtube.com/results?search_query=%E7%8E%96%E5%A3%B9%E5%A3%B9+%E4%B8%96%E7%95%8C%E9%83%BD%E7%9C%8B%E8%A6%8B+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語歌,2022,玖壹壹,BROMAN,BROMAN - Single,2022-09-12,台灣流行樂,https://www.youtube.com/results?search_query=%E7%8E%96%E5%A3%B9%E5%A3%B9+BROMAN+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2022,潤少,潤少專屬,潤少專屬 - Single,2022-08-24,嘻哈/饒舌,https://www.youtube.com/results?search_query=%E6%BD%A4%E5%B0%91+%E6%BD%A4%E5%B0%91%E5%B0%88%E5%B1%AC+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,曾立馨,古早的歌聲,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E6%9B%BE%E7%AB%8B%E9%A6%A8+%E5%8F%A4%E6%97%A9%E7%9A%84%E6%AD%8C%E8%81%B2+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語,2022,曾瑋中,必巡 (三立戲劇《含笑食堂》片尾曲/《嘉慶君遊臺灣》片頭曲),總會有一工,2022-07-07,台灣流行樂,https://www.youtube.com/results?search_query=%E6%9B%BE%E7%91%8B%E4%B8%AD+%E5%BF%85%E5%B7%A1+%28%E4%B8%89%E7%AB%8B%E6%88%B2%E5%8A%87%E3%80%8A%E5%90%AB%E7%AC%91%E9%A3%9F%E5%A0%82%E3%80%8B%E7%89%87%E5%B0%BE%E6%9B%B2%2F%E3%80%8A%E5%98%89%E6%85%B6%E5%90%9B%E9%81%8A%E8%87%BA%E7%81%A3%E3%80%8B%E7%89%87%E9%A0%AD%E6%9B%B2%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,曾得瑋,芥子懺,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E6%9B%BE%E5%BE%97%E7%91%8B+%E8%8A%A5%E5%AD%90%E6%87%BA+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2022,宇宙人,好野,理想狀態,2022-03-17,台灣流行樂,https://www.youtube.com/results?search_query=%E5%AE%87%E5%AE%99%E4%BA%BA+%E5%A5%BD%E9%87%8E+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,周杰倫,紅顏如霜,最偉大的作品,2022-07-15,華語流行樂,https://www.youtube.com/results?search_query=%E5%91%A8%E6%9D%B0%E5%80%AB+%E7%B4%85%E9%A1%8F%E5%A6%82%E9%9C%9C+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,呂雨祥,殘影,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E5%91%82%E9%9B%A8%E7%A5%A5+%E6%AE%98%E5%BD%B1+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,台青蕉,這理由毋是你來講,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E5%8F%B0%E9%9D%92%E8%95%89+%E9%80%99%E7%90%86%E7%94%B1%E6%AF%8B%E6%98%AF%E4%BD%A0%E4%BE%86%E8%AC%9B+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,假日照常,無法渡,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E5%81%87%E6%97%A5%E7%85%A7%E5%B8%B8+%E7%84%A1%E6%B3%95%E6%B8%A1+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2021,陳奕迅,孤勇者 (《英雄聯盟:雙城之戰》動畫劇集中文主題曲),孤勇者 (《英雄聯盟:雙城之戰》動畫劇集中文主題曲) - Single,2021-11-08,華語流行樂,https://www.youtube.com/results?search_query=%E9%99%B3%E5%A5%95%E8%BF%85+%E5%AD%A4%E5%8B%87%E8%80%85+%28%E3%80%8A%E8%8B%B1%E9%9B%84%E8%81%AF%E7%9B%9F%3A%E9%9B%99%E5%9F%8E%E4%B9%8B%E6%88%B0%E3%80%8B%E5%8B%95%E7%95%AB%E5%8A%87%E9%9B%86%E4%B8%AD%E6%96%87%E4%B8%BB%E9%A1%8C%E6%9B%B2%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2021,血肉果汁機,虎爺,GOLDEN 太子 BRO,2021-01-01,金屬樂,https://www.youtube.com/results?search_query=%E8%A1%80%E8%82%89%E6%9E%9C%E6%B1%81%E6%A9%9F+%E8%99%8E%E7%88%BA+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2021,草屯囝仔,愈愛愈殘忍,愈愛愈殘忍 - Single,2021-10-25,台灣流行樂,https://www.youtube.com/results?search_query=%E8%8D%89%E5%B1%AF%E5%9B%9D%E4%BB%94+%E6%84%88%E6%84%9B%E6%84%88%E6%AE%98%E5%BF%8D+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語流行,2021,茄子蛋,閣愛妳一擺,閣愛妳一擺 - Single,2021-12-10,台灣流行樂,https://www.youtube.com/results?search_query=%E8%8C%84%E5%AD%90%E8%9B%8B+%E9%96%A3%E6%84%9B%E5%A6%B3%E4%B8%80%E6%93%BA+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
Taiwanese Hokkien,2021,百合花,拜六,不是路,2021-12-24,搖滾,https://www.youtube.com/results?search_query=%E7%99%BE%E5%90%88%E8%8A%B1+%E6%8B%9C%E5%85%AD+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2021,Marz23,不遠處,不遠處,2021-12-29,流行樂,https://www.youtube.com/results?search_query=Marz23+%E4%B8%8D%E9%81%A0%E8%99%95+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
